t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad,r_shoulder_pitch_rad,r_shoulder_roll_rad,r_shoulder_yaw_rad,r_elbow_rad
1,0.277291,-0.190548,-1.11843,-0.0151849,-0.368692,-0.0362453,0.89729,0.0514078
1.02,0.277291,-0.18385,-1.11843,-0.0208583,-0.368676,-0.0411985,0.897495,0.0601821
1.04,0.276981,-0.176578,-1.11845,-0.0236993,-0.368426,-0.0455773,0.897667,0.0678238
1.06,0.276981,-0.168882,-1.11845,-0.0274753,-0.367688,-0.0496759,0.897742,0.0744664
1.08,0.276978,-0.161126,-1.11849,-0.0332015,-0.366014,-0.0541716,0.897742,0.0766802
1.1,0.276978,-0.152997,-1.11866,-0.0382735,-0.363398,-0.0588648,0.897682,0.0769295
1.12,0.276978,-0.145602,-1.11963,-0.0431485,-0.361517,-0.0637903,0.897682,0.0774355
1.13999,0.277283,-0.139435,-1.12304,-0.0510644,-0.361517,-0.0680346,0.89769,0.0814529
1.16,0.277283,-0.134066,-1.12859,-0.0580779,-0.361711,-0.0717318,0.897743,0.0882534
1.17999,0.277218,-0.128091,-1.13738,-0.0652591,-0.361711,-0.0750299,0.897829,0.0941944
1.20001,0.277139,-0.123107,-1.14832,-0.0736145,-0.361597,-0.0781624,0.897838,0.100807
1.22,0.277139,-0.119629,-1.16273,-0.0823502,-0.361441,-0.0795785,0.897966,0.108688
1.24,0.277126,-0.116974,-1.17923,-0.09173,-0.361463,-0.0802488,0.898035,0.115866
1.26,0.276941,-0.11548,-1.19703,-0.100598,-0.361407,-0.0805793,0.898117,0.124403
1.27999,0.276941,-0.11548,-1.21656,-0.109833,-0.361396,-0.0805793,0.898245,0.132002
1.3,0.276952,-0.11545,-1.23803,-0.117715,-0.361319,-0.0805242,0.898253,0.140104
1.32,0.276952,-0.115443,-1.25901,-0.125417,-0.361289,-0.0805242,0.898253,0.14698
