t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad
9.36,-0.0332646,-0.0701606,-0.272802,-0.0475142
9.38,-0.0333028,-0.0701168,-0.27277,-0.0474907
9.4,-0.033293,-0.0700892,-0.272785,-0.0474665
9.42,-0.0333249,-0.0699982,-0.27285,-0.0475072
9.44001,-0.0333391,-0.0701068,-0.272792,-0.0475045
9.46,-0.0332324,-0.070103,-0.27277,-0.0475047
9.48001,-0.0332448,-0.0700769,-0.272757,-0.0475545
9.5,-0.0332702,-0.0700665,-0.272817,-0.047505
9.52001,-0.0332775,-0.0701566,-0.27279,-0.0475145
9.54,-0.0332834,-0.0700402,-0.272728,-0.0474561
9.56,-0.0332974,-0.0700404,-0.272791,-0.0475036
9.58001,-0.0332777,-0.0700503,-0.272762,-0.0475158
9.6,-0.0332906,-0.070088,-0.272784,-0.0475266
9.62001,-0.0333107,-0.0701254,-0.272742,-0.0474998
9.64,-0.0332426,-0.0700753,-0.272797,-0.0475367
9.66,-0.0332617,-0.0701228,-0.272788,-0.0474851
9.68,-0.0332928,-0.0701194,-0.272797,-0.0475217
9.7,-0.0333185,-0.0700696,-0.27282,-0.0474665
9.72,-0.0332737,-0.0701329,-0.272806,-0.0475246
9.74,-0.0332881,-0.0701112,-0.272795,-0.0475327
9.76,-0.0332657,-0.0700926,-0.272785,-0.0475503
9.78,-0.0332663,-0.0700412,-0.27284,-0.0475244
9.8,-0.0332607,-0.0700767,-0.272765,-0.0475057
9.82,-0.0332561,-0.0700546,-0.272815,-0.0475125
9.84001,-0.0332509,-0.0701045,-0.272791,-0.0475001
9.86,-0.0332666,-0.0700934,-0.272796,-0.0475166
9.88,-0.033265,-0.0700948,-0.272769,-0.047507
9.90001,-0.0332838,-0.0700637,-0.272796,-0.0475187
9.92,-0.0332994,-0.0700398,-0.272776,-0.047467
9.94001,-0.0332819,-0.0700517,-0.272804,-0.0475643
9.96001,-0.0332881,-0.0700548,-0.27277,-0.047516
9.98,-0.0332266,-0.0701064,-0.272796,-0.0475043
10,-0.0332945,-0.0700454,-0.272759,-0.0474675
10.02,-0.033312,-0.0700743,-0.27278,-0.0475003
10.04,-0.033269,-0.070021,-0.272734,-0.0475439
10.06,-0.0333066,-0.0700666,-0.272777,-0.0474766
10.08,-0.0332652,-0.0701205,-0.272791,-0.0475119
10.1,-0.0332557,-0.0700771,-0.272784,-0.0474702
10.12,-0.0332348,-0.0700765,-0.27279,-0.0474964
10.14,-0.0333005,-0.0700925,-0.272772,-0.0474898
10.16,-0.0332218,-0.0701025,-0.272734,-0.0475422
10.18,-0.0332864,-0.0700103,-0.272775,-0.0475469
10.2,-0.0332914,-0.0700259,-0.272765,-0.0475093
10.22,-0.0332575,-0.0700105,-0.272822,-0.0475143
10.24,-0.0332776,-0.0700704,-0.272779,-0.0475304
10.26,-0.0332706,-0.0700381,-0.272781,-0.0474857
10.28,-0.033277,-0.0700541,-0.27278,-0.0475015
10.3,-0.0332797,-0.0700556,-0.272768,-0.0475162
10.32,-0.0332071,-0.0700785,-0.272789,-0.0474949
10.34,-0.0332499,-0.070138,-0.272757,-0.0475208
10.36,-0.0333213,-0.0700933,-0.272779,-0.0475159
10.38,-0.0332857,-0.0700774,-0.272792,-0.04755
10.4,-0.0332705,-0.0700602,-0.272766,-0.0475473
10.42,-0.0332571,-0.0701123,-0.272778,-0.0475371
10.44,-0.0332593,-0.0700488,-0.272809,-0.0474921
10.46,-0.0332696,-0.0700606,-0.272823,-0.0474881
10.48,-0.0332992,-0.070121,-0.27282,-0.0475129
10.5,-0.0333031,-0.0700964,-0.272837,-0.0475453
10.52,-0.0332858,-0.0701066,-0.272806,-0.0474975
10.54,-0.0332521,-0.0700456,-0.272796,-0.0474746
10.56,-0.0332551,-0.0700598,-0.272792,-0.0475043
10.58,-0.0333067,-0.0700926,-0.272811,-0.0474654
10.6,-0.0332534,-0.0700973,-0.272762,-0.0475345
10.62,-0.0332288,-0.0700552,-0.272797,-0.0474958
10.64,-0.0332704,-0.0700724,-0.272787,-0.0475175
10.66,-0.0332921,-0.070112,-0.272766,-0.0475443
10.68,-0.0332557,-0.0701213,-0.272803,-0.04753
10.7,-0.0332586,-0.0700322,-0.272806,-0.0475024
10.72,-0.033248,-0.0700971,-0.272739,-0.0475429
10.74,-0.0332614,-0.0700983,-0.272828,-0.0475013
10.76,-0.0333279,-0.0700799,-0.272796,-0.0475157
10.78,-0.0332093,-0.0700386,-0.272795,-0.047517
10.8,-0.0332546,-0.0701049,-0.272761,-0.0474984
10.82,-0.0332526,-0.070042,-0.27279,-0.0475478
10.84,-0.033283,-0.0700777,-0.272769,-0.0475286
10.86,-0.0333049,-0.0700421,-0.272798,-0.0475312
10.88,-0.0332739,-0.0699808,-0.272803,-0.0474718
10.9,-0.0332575,-0.0700574,-0.272808,-0.0475177
10.92,-0.0332907,-0.070111,-0.272799,-0.0474788
10.94,-0.0332711,-0.0701141,-0.272794,-0.0475855
10.96,-0.0332874,-0.0700673,-0.272812,-0.0475515
10.98,-0.0332551,-0.0700729,-0.272818,-0.0475035
11,-0.0332425,-0.0700457,-0.272826,-0.0474782
11.02,-0.0332726,-0.07013,-0.272803,-0.0475215
11.04,-0.0332513,-0.0700681,-0.272772,-0.047517
11.06,-0.0333155,-0.0701526,-0.272762,-0.0475091
11.08,-0.0332699,-0.0700768,-0.2728,-0.0475379
11.1,-0.0332587,-0.0700952,-0.272758,-0.047519
11.12,-0.0332253,-0.0700387,-0.272785,-0.0474842
11.14,-0.0332565,-0.070071,-0.272815,-0.0475054
11.16,-0.0332611,-0.0700054,-0.272744,-0.0475092
11.18,-0.033297,-0.0701034,-0.27281,-0.0475141
11.2,-0.0332991,-0.0700778,-0.272789,-0.0474814
11.22,-0.0332807,-0.0701559,-0.272789,-0.0475646
11.24,-0.0332754,-0.0701425,-0.272779,-0.0474987
11.26,-0.0332521,-0.0700379,-0.272776,-0.0474968
11.28,-0.0332647,-0.0700443,-0.272803,-0.0475124
11.3,-0.0332539,-0.0701356,-0.272766,-0.0475036
11.32,-0.0332825,-0.0700198,-0.272818,-0.0475129
11.34,-0.0332897,-0.0700564,-0.272818,-0.047532
11.36,-0.0332583,-0.0700939,-0.272779,-0.0475175
11.38,-0.0332716,-0.0700691,-0.272823,-0.0475367
11.4,-0.0332834,-0.070078,-0.272801,-0.0475366
11.42,-0.0332741,-0.070108,-0.272814,-0.0474702
11.44,-0.0332773,-0.0700573,-0.272777,-0.0475497
11.46,-0.0332597,-0.0701029,-0.272741,-0.0475012
11.48,-0.0333185,-0.0701451,-0.272796,-0.0474844
11.5,-0.0332677,-0.0701138,-0.27279,-0.0474998
11.52,-0.0332506,-0.0700939,-0.2728,-0.0474907
11.54,-0.0332904,-0.0701105,-0.272773,-0.0475118
11.56,-0.0332378,-0.0700638,-0.272793,-0.0474857
11.58,-0.0332921,-0.0700626,-0.272749,-0.0475329
11.6,-0.0332491,-0.0700335,-0.272771,-0.0475036
11.62,-0.0332955,-0.0701143,-0.27279,-0.0474758
11.64,-0.0333038,-0.0701208,-0.27278,-0.0475033
11.66,-0.0332557,-0.0700479,-0.272768,-0.0474767
11.68,-0.0332772,-0.0700434,-0.27279,-0.0474837
11.7,-0.0332425,-0.0700557,-0.272798,-0.0475394
11.72,-0.0332659,-0.0701064,-0.272772,-0.047538
11.74,-0.03323,-0.0700528,-0.272772,-0.0475058
11.76,-0.0332193,-0.0701601,-0.272774,-0.0475001
11.78,-0.0332714,-0.0700391,-0.272835,-0.0475197
11.8,-0.0332593,-0.0701015,-0.272769,-0.0474943
11.82,-0.0332923,-0.0700925,-0.272794,-0.0475006
11.84,-0.0332644,-0.0700713,-0.272814,-0.0475207
11.86,-0.0332731,-0.0700479,-0.272739,-0.0475318
11.88,-0.0332438,-0.0701341,-0.272776,-0.047546
11.9,-0.0332564,-0.0701063,-0.27279,-0.0475021
11.92,-0.0332922,-0.070115,-0.27279,-0.0475461
11.94,-0.0332183,-0.0701054,-0.272809,-0.047564
11.96,-0.033277,-0.0699989,-0.27278,-0.0474725
11.98,-0.0332512,-0.0700956,-0.272804,-0.0474903
12,-0.0332599,-0.0700781,-0.272773,-0.0475182
12.02,-0.0332817,-0.0701135,-0.27282,-0.0475375
